date,open,high,low,close
2017-08-18,302.00000000,311.79000000,283.94000000,293.96000000
2017-08-19,293.31000000,299.90000000,278.00000000,290.91000000
2017-08-20,289.41000000,300.53000000,282.85000000,299.10000000
2017-08-21,299.10000000,346.52000000,294.60000000,323.29000000
2017-08-22,321.04000000,330.41000000,144.21000000,309.80000000
2017-08-23,312.25000000,324.99000000,309.41000000,315.74000000
2017-08-24,315.74000000,328.04000000,314.01000000,323.42000000
2017-08-25,323.42000000,338.28000000,323.42000000,327.24000000
2017-08-26,327.24000000,335.44000000,323.41000000,330.79000000
2017-08-27,332.18000000,348.13000000,330.73000000,348.13000000
2017-08-28,348.11000000,351.00000000,331.95000000,346.00000000
2017-08-29,347.00000000,377.60000000,346.00000000,374.70000000
2017-08-30,374.70000000,393.71000000,362.05000000,385.93000000
2017-08-31,384.64000000,389.36000000,377.78000000,384.79000000
2017-09-01,386.44000000,394.39000000,383.18000000,388.46000000
2017-09-02,388.58000000,394.32000000,320.08000000,343.14000000
2017-09-03,343.56000000,367.28000000,320.08000000,341.77000000
2017-09-04,339.29000000,344.55000000,267.94000000,283.77000000
2017-09-05,286.81000000,321.52000000,235.55000000,312.09000000
2017-09-06,313.29000000,336.34000000,312.09000000,335.00000000
2017-09-07,335.01000000,342.50000000,320.17000000,334.49000000
2017-09-08,334.49000000,335.10000000,272.00000000,302.99000000
2017-09-09,300.01000000,307.00000000,281.66000000,296.74000000
2017-09-10,296.72000000,302.78000000,261.03000000,293.50000000
2017-09-11,293.51000000,304.98000000,285.21000000,297.30000000
2017-09-12,297.78000000,316.46000000,286.01000000,293.96000000
2017-09-13,293.93000000,294.50000000,257.05000000,276.91000000
2017-09-14,275.76000000,283.77000000,215.00000000,215.21000000
2017-09-15,217.00000000,270.93000000,192.00000000,253.00000000
2017-09-16,255.99000000,271.81000000,235.51000000,249.31000000
2017-09-17,249.32000000,264.39000000,239.02000000,257.55000000
2017-09-18,257.53000000,306.22000000,257.11000000,294.57000000
2017-09-19,296.00000000,300.00000000,277.41000000,284.00000000
2017-09-20,284.01000000,294.00000000,275.91000000,282.00000000
2017-09-21,285.10000000,287.00000000,252.10000000,257.00000000
2017-09-22,258.00000000,272.97000000,253.01000000,264.00000000
2017-09-23,259.99000000,286.23000000,255.11000000,285.93000000
2017-09-24,286.50000000,294.61000000,275.00000000,282.00000000
2017-09-25,282.00000000,299.00000000,281.34000000,294.42000000
2017-09-26,294.42000000,296.81000000,286.24000000,287.90000000
2017-09-27,289.91000000,313.00000000,286.13000000,309.74000000
2017-09-28,309.81000000,311.81000000,296.89000000,302.44000000
2017-09-29,302.44000000,303.00000000,274.00000000,292.22000000
2017-09-30,292.62000000,307.49000000,292.22000000,304.36000000
2017-10-01,305.13000000,306.00000000,294.00000000,303.95000000
2017-10-02,303.94000000,305.00000000,295.00000000,296.50000000
2017-10-03,298.15000000,301.99000000,283.18000000,292.48000000
2017-10-04,292.47000000,297.97000000,288.00000000,291.99000000
2017-10-05,290.00000000,297.44000000,285.53000000,294.81000000
2017-10-06,294.78000000,310.80000000,293.78000000,310.80000000
2017-10-07,309.90000000,318.50000000,303.60000000,311.01000000
2017-10-08,311.08000000,317.07000000,309.00000000,311.07000000
2017-10-09,311.13000000,312.13000000,286.65000000,297.19000000
2017-10-10,297.35000000,308.56000000,293.00000000,298.64000000
2017-10-11,300.88000000,305.50000000,298.02000000,304.01000000
2017-10-12,304.01000000,310.00000000,302.71000000,303.99000000
2017-10-13,303.52000000,353.96000000,297.00000000,337.96000000
2017-10-14,337.96000000,349.80000000,335.00000000,342.00000000
2017-10-15,342.00000000,348.00000000,316.17000000,337.96000000
2017-10-16,337.50000000,354.00000000,332.78000000,335.19000000
2017-10-17,335.18000000,336.58000000,312.65000000,315.19000000
2017-10-18,315.19000000,318.00000000,284.68000000,309.70000000
2017-10-19,311.52000000,315.00000000,300.00000000,308.66000000
2017-10-20,308.66000000,311.18000000,302.00000000,304.51000000
2017-10-21,304.51000000,305.34000000,290.00000000,298.94000000
2017-10-22,298.99000000,306.99000000,290.00000000,293.79000000
2017-10-23,293.78000000,294.60000000,272.20000000,281.09000000
2017-10-24,282.27000000,310.00000000,275.50000000,297.38000000
2017-10-25,295.43000000,300.00000000,281.00000000,294.49000000
2017-10-26,294.10000000,299.76000000,291.03000000,294.71000000
2017-10-27,294.72000000,298.10000000,292.03000000,296.33000000
2017-10-28,296.14000000,297.00000000,290.10000000,291.87000000
2017-10-29,291.86000000,309.40000000,291.86000000,305.00000000
2017-10-30,305.00000000,316.00000000,302.10000000,307.25000000
2017-10-31,305.95000000,309.99000000,304.01000000,304.90000000
2017-11-01,304.89000000,305.90000000,286.34000000,287.01000000
2017-11-02,287.30000000,293.00000000,274.73000000,283.12000000
2017-11-03,283.12000000,307.00000000,282.00000000,304.08000000
2017-11-04,304.09000000,304.99000000,292.11000000,298.04000000
2017-11-05,298.10000000,302.14000000,293.13000000,295.53000000
2017-11-06,295.19000000,305.58000000,290.11000000,297.97000000
2017-11-07,297.25000000,303.52000000,287.00000000,291.78000000
2017-11-08,291.31000000,320.00000000,290.02000000,303.02000000
2017-11-09,303.60000000,329.00000000,299.50000000,317.87000000
2017-11-10,318.50000000,322.65000000,285.82000000,293.50000000
2017-11-11,293.52000000,318.00000000,291.91000000,310.02000000
2017-11-12,310.87000000,316.99000000,281.01000000,305.24000000
2017-11-13,304.00000000,318.88000000,303.70000000,312.99000000
2017-11-14,313.00000000,337.54000000,312.94000000,335.61000000
2017-11-15,335.60000000,339.00000000,324.00000000,331.33000000
2017-11-16,330.98000000,334.75000000,321.41000000,331.49000000
2017-11-17,331.49000000,334.60000000,323.84000000,331.23000000
2017-11-18,331.20000000,349.90000000,326.01000000,346.66000000
2017-11-19,346.66000000,373.56000000,343.07000000,354.15000000
2017-11-20,355.15000000,372.50000000,353.90000000,367.42000000
2017-11-21,367.42000000,375.50000000,350.02000000,362.12000000
2017-11-22,362.12000000,384.84000000,359.00000000,380.65000000
2017-11-23,380.63000000,425.00000000,370.02000000,405.00000000
2017-11-24,405.03000000,475.00000000,392.80000000,469.00000000
2017-11-25,467.57000000,484.47000000,450.00000000,461.82000000
2017-11-26,461.00000000,465.00000000,436.14000000,462.84000000
2017-11-27,462.84000000,486.94000000,453.00000000,472.31000000
2017-11-28,472.32000000,477.50000000,453.50000000,466.17000000
2017-11-29,466.17000000,515.00000000,385.00000000,421.70000000
2017-11-30,421.92000000,460.00000000,387.01000000,427.43000000
2017-12-01,428.05000000,465.97000000,413.74000000,457.51000000
2017-12-02,457.53000000,471.91000000,445.00000000,457.63000000
2017-12-03,457.31000000,485.90000000,440.11000000,460.30000000
2017-12-04,460.30000000,470.98000000,445.00000000,466.67000000
2017-12-05,466.66000000,468.67000000,445.21000000,452.26000000
2017-12-06,452.26000000,455.10000000,400.00000000,411.01000000
2017-12-07,413.50000000,427.61000000,375.01000000,406.33000000
2017-12-08,406.52000000,456.78000000,390.00000000,442.56000000
2017-12-09,442.56000000,488.00000000,426.40000000,460.00000000
2017-12-10,460.00000000,460.05000000,403.20000000,427.35000000
2017-12-11,427.35000000,512.00000000,427.35000000,508.70000000
2017-12-12,508.44000000,639.27000000,494.89000000,620.00000000
2017-12-13,622.00000000,705.69000000,539.93000000,683.99000000
2017-12-14,683.98000000,747.60000000,630.50000000,679.76000000
2017-12-15,679.76000000,689.00000000,594.60000000,674.95000000
2017-12-16,673.75000000,712.00000000,669.22000000,682.81000000
2017-12-17,681.80000000,728.00000000,680.33000000,707.64000000
2017-12-18,707.62000000,798.88000000,638.00000000,784.00000000
2017-12-19,784.00000000,864.90000000,729.01000000,798.00000000
2017-12-20,798.00000000,828.00000000,661.00000000,790.21000000
2017-12-21,794.62000000,845.99000000,705.98000000,782.41000000
2017-12-22,784.00000000,796.00000000,504.99000000,635.97000000
2017-12-23,635.15000000,714.99000000,627.97000000,640.34000000
2017-12-24,640.33000000,667.64000000,563.49000000,658.00000000
2017-12-25,659.40000000,744.00000000,599.99000000,714.95000000
2017-12-26,713.12000000,750.00000000,712.56000000,750.00000000
2017-12-27,750.00000000,766.05000000,693.18000000,739.89000000
2017-12-28,739.89000000,744.93000000,645.88000000,707.89000000
2017-12-29,709.50000000,757.87000000,703.00000000,733.99000000
2017-12-30,732.90000000,735.00000000,635.82000000,681.06000000
2017-12-31,680.01000000,740.00000000,672.86000000,733.98000000
2018-01-01,733.01000000,763.55000000,716.80000000,754.99000000
2018-01-02,754.99000000,899.50000000,749.06000000,855.28000000
2018-01-03,855.13000000,950.01000000,810.00000000,934.03000000
2018-01-04,934.03000000,1009.72000000,890.01000000,940.00000000
2018-01-05,940.00000000,1045.00000000,930.00000000,959.30000000
2018-01-06,958.00000000,1017.56000000,950.00000000,1004.11000000
2018-01-07,1003.71000000,1125.00000000,999.90000000,1123.09000000
2018-01-08,1123.09000000,1239.18000000,910.00000000,1133.18000000
2018-01-09,1133.18000000,1326.50000000,1104.85000000,1291.00000000
2018-01-10,1291.00000000,1440.00000000,1201.10000000,1247.00000000
2018-01-11,1249.03000000,1332.49000000,1021.00000000,1138.93000000
2018-01-12,1136.45000000,1288.50000000,1069.01000000,1253.87000000
2018-01-13,1253.87000000,1427.01000000,1252.00000000,1388.02000000
2018-01-14,1388.10000000,1391.89000000,1220.89000000,1347.00000000
2018-01-15,1347.99000000,1383.13000000,1258.12000000,1271.00000000
2018-01-16,1268.67000000,1275.01000000,780.00000000,1000.00000000
2018-01-17,999.99000000,1075.51000000,755.00000000,1000.00000000
2018-01-18,1000.00000000,1075.20000000,924.21000000,994.00000000
